z_init;mu_z0;mu_z1;seed;d;sdmu;n_small;n_large;Csurv;Bsurv;Cfec;Bfec;baseline_mortality;s_small;s_large;p_large;n_patches;time;z_small;varz_small;z_large;varz_large;n;freq_largefile
0;0.01;0.01;3864525216;0.5;0.01;5;5;0;0;1;5.16421;0.114211;0.2;0.9;0.181818;500;100000;0.000172313;0.000991953;8.81905e-05;0.00113693;2500;0.178./sim_patch_size_25_01_2024_213940_48
0;0.01;0.01;1470507747;0.5;0.01;5;5;0;0;1;5.90053;0.114211;0.2;0.9;0.181818;500;100000;0.000246968;0.000953124;8.59689e-05;0.000370475;2500;0.228./sim_patch_size_25_01_2024_213940_49
0;0.01;0.01;2038999227;0.5;0.01;5;5;0;0;1;6.63684;0.114211;0.2;0.9;0.181818;500;100000;0.000348829;0.000338725;0.000116949;0.000183185;2500;0.194./sim_patch_size_25_01_2024_213940_50
0;0.01;0.01;1664002418;0.5;0.01;5;5;0;0;1;7.37316;0.114211;0.2;0.9;0.181818;500;100000;0.000289549;0.000926595;0.00012288;0.000858339;2500;0.172./sim_patch_size_25_01_2024_213940_51
0;0.01;0.01;3862090385;0.5;0.01;5;5;0;0;1;8.10947;0.114211;0.2;0.9;0.181818;500;100000;0.00033172;0.00123789;9.47068e-05;0.000658124;2500;0.178./sim_patch_size_25_01_2024_213940_52
0;0.01;0.01;3938308623;0.5;0.01;5;5;0;0;1;8.84579;0.114211;0.2;0.9;0.181818;500;100000;0.000437836;0.000526367;6.82737e-05;0.00110401;2500;0.158./sim_patch_size_25_01_2024_213940_53
0;0.01;0.01;403930966;0.5;0.01;5;5;0;0;1;9.58211;0.114211;0.2;0.9;0.181818;500;100000;0.000446425;0.000739024;0.000136408;0.000248071;2500;0.17./sim_patch_size_25_01_2024_213940_54
0;0.01;0.01;3724332184;0.5;0.01;5;5;0;0;1;10.3184;0.114211;0.2;0.9;0.181818;500;100000;0.000407503;0.00116188;0.000104349;0.000763499;2500;0.202./sim_patch_size_25_01_2024_213940_55
0;0.01;0.01;3305321024;0.5;0.01;5;5;0;0;1;11.0547;0.114211;0.2;0.9;0.181818;500;100000;0.000404171;0.000703779;7.82728e-05;0.000304887;2500;0.19./sim_patch_size_25_01_2024_213940_56
0;0.01;0.01;1838850132;0.5;0.01;5;5;0;0;1;11.7911;0.114211;0.2;0.9;0.181818;500;100000;0.000384208;0.00100678;0.000100851;0.00176726;2500;0.208./sim_patch_size_25_01_2024_213940_57
0;0.01;0.01;2174641554;0.5;0.01;5;5;0;0;1;12.5274;0.114211;0.2;0.9;0.181818;500;100000;0.000401301;0.000551838;0.000118283;0.000193537;2500;0.18./sim_patch_size_25_01_2024_213940_58
0;0.01;0.01;2542494831;0.5;0.01;5;5;0;0;1;13.2637;0.114211;0.2;0.9;0.181818;500;100000;0.000443881;0.000393166;9.13788e-05;0.000202541;2500;0.188./sim_patch_size_25_01_2024_213940_59
0;0.01;0.01;2042606744;0.5;0.01;5;5;0;0;1;14;0.114211;0.2;0.9;0.181818;500;100000;0.000438668;0.000730696;0.000136886;0.00164464;2500;0.186./sim_patch_size_25_01_2024_213940_60
0;0.01;0.01;2347512586;0.5;0.01;5;5;0;0;1;0.01;0.166316;0.2;0.9;0.181818;500;100000;-0.000930238;0.000371102;-0.000112575;0.00185286;2500;0.174./sim_patch_size_25_01_2024_213940_61
0;0.01;0.01;479739840;0.5;0.01;5;5;0;0;1;0.746316;0.166316;0.2;0.9;0.181818;500;100000;-0.000984193;0.000239603;-0.000291827;0.00046987;2500;0.174./sim_patch_size_25_01_2024_213940_62
0;0.01;0.01;1242695600;0.5;0.01;5;5;0;0;1;1.48263;0.166316;0.2;0.9;0.181818;500;100000;-0.000917065;0.070319;0.000151229;0.00647569;2500;0.174./sim_patch_size_25_01_2024_213940_63
0;0.01;0.01;3447024297;0.5;0.01;5;5;0;0;1;2.21895;0.166316;0.2;0.9;0.181818;500;100000;-0.000331939;0.00102841;0.000520497;0.000683661;2500;0.162./sim_patch_size_25_01_2024_213940_64
0;0.01;0.01;2660456577;0.5;0.01;5;5;0;0;1;2.95526;0.166316;0.2;0.9;0.181818;500;100000;-0.000347166;0.000237763;0.000504537;0.000153327;2500;0.168./sim_patch_size_25_01_2024_213940_65
